"filename", "language", "Markdown", "YAML", "TOML", "Rust", "HTML", "comment", "blank", "total"
"e:\RuboCar\RuboVision-Engine\Cargo.toml", "TOML", 0, 0, 19, 0, 0, 0, 2, 21
"e:\RuboCar\RuboVision-Engine\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 3, 5
"e:\RuboCar\RuboVision-Engine\TaskTODO.md", "Markdown", 13, 0, 0, 0, 0, 0, 14, 27
"e:\RuboCar\RuboVision-Engine\config\app.yaml", "YAML", 0, 4, 0, 0, 0, 0, 1, 5
"e:\RuboCar\RuboVision-Engine\config\bindings.toml", "TOML", 0, 0, 20, 0, 0, 4, 6, 30
"e:\RuboCar\RuboVision-Engine\config\device.toml", "TOML", 0, 0, 16, 0, 0, 0, 3, 19
"e:\RuboCar\RuboVision-Engine\config\func_param.toml", "TOML", 0, 0, 12, 0, 0, 0, 3, 15
"e:\RuboCar\RuboVision-Engine\config\web.yaml", "YAML", 0, 4, 0, 0, 0, 0, 0, 4
"e:\RuboCar\RuboVision-Engine\src\config\app.rs", "Rust", 0, 0, 0, 17, 0, 0, 4, 21
"e:\RuboCar\RuboVision-Engine\src\config\binding.rs", "Rust", 0, 0, 0, 37, 0, 1, 6, 44
"e:\RuboCar\RuboVision-Engine\src\config\device.rs", "Rust", 0, 0, 0, 16, 0, 0, 8, 24
"e:\RuboCar\RuboVision-Engine\src\config\func.rs", "Rust", 0, 0, 0, 11, 0, 0, 5, 16
"e:\RuboCar\RuboVision-Engine\src\config\mod.rs", "Rust", 0, 0, 0, 15, 0, 0, 2, 17
"e:\RuboCar\RuboVision-Engine\src\config\settings.rs", "Rust", 0, 0, 0, 29, 0, 0, 7, 36
"e:\RuboCar\RuboVision-Engine\src\config\web.rs", "Rust", 0, 0, 0, 17, 0, 0, 4, 21
"e:\RuboCar\RuboVision-Engine\src\device\mod.rs", "Rust", 0, 0, 0, 5, 0, 0, 1, 6
"e:\RuboCar\RuboVision-Engine\src\device\register.rs", "Rust", 0, 0, 0, 25, 0, 2, 5, 32
